player_name,draft_year,round,pick,team,pos_group,apy_m,av_y1_4,roi,surplus,era
Knowshon Moreno,2009,1,12,DEN,RB,3.415,21.0,6.149341142020497,-11.714285714285715,2006–2015
Donald Brown,2009,1,27,IND,RB,1.927,17.0,8.822003113648158,-8.5,2006–2015
Beanie Wells,2009,1,31,ARI,RB,,15.0,,-8.0,2006–2015
LeSean McCoy,2009,2,53,PHI,RB,0.869281,38.0,43.71428801503772,19.70833333333333,2006–2015
Shonn Greene,2009,3,65,NYJ,RB,0.66375,21.0,31.63841807909605,3.020833333333336,2006–2015
Glen Coffee,2009,3,74,SFO,RB,,2.0,,-14.214285714285715,2006–2015
C.J. Spiller,2010,1,9,BUF,RB,4.860917,30.0,6.171675015228608,-6.0,2006–2015
Ryan Mathews,2010,1,12,SDG,RB,3.55725,37.0,10.401293133740952,4.285714285714285,2006–2015
Jahvid Best,2010,1,30,DET,RB,,13.0,,-11.25,2006–2015
Toby Gerhart,2010,2,51,MIN,RB,0.941625,14.0,14.86791450949157,-4.291666666666668,2006–2015
Ben Tate,2010,2,58,HOU,RB,,13.0,,-5.291666666666668,2006–2015
Montario Hardesty,2010,2,59,CLE,RB,,4.0,,-14.291666666666668,2006–2015
Mark Ingram,2011,1,28,NOR,RB,1.854188,19.0,10.247073112327335,-5.25,2006–2015
Ryan Williams,2011,2,38,ARI,RB,1.251858,1.0,0.7988126448846435,-22.0,2006–2015
Shane Vereen,2011,2,56,NWE,RB,0.865288,17.0,19.64663788241603,-1.291666666666668,2006–2015
Mikel Leshoure,2011,2,57,DET,RB,0.858545,5.0,5.823806556441421,-13.291666666666668,2006–2015
Daniel Thomas,2011,2,62,MIA,RB,0.809097,12.0,14.831349022428707,-5.979166666666664,2006–2015
DeMarco Murray,2011,3,71,DAL,RB,0.74336,43.0,57.84545845888937,25.020833333333336,2006–2015
Stevan Ridley,2011,3,73,NWE,RB,0.738375,24.0,32.50380904012189,6.020833333333336,2006–2015
Alex Green,2011,3,96,GNB,RB,0.644375,5.0,7.759456838021338,-1.933333333333333,2006–2015
Trent Richardson,2012,1,3,CLE,RB,5.122449,18.0,3.5139442091077924,-18.0,2006–2015
Doug Martin,2012,1,31,TAM,RB,1.696882,31.0,18.26880124840737,8.0,2006–2015
David Wilson,2012,1,32,NYG,RB,1.671126,5.0,2.991994619196877,-18.0,2006–2015
Isaiah Pead,2012,2,50,STL,RB,1.009525,1.0,0.990564869616899,-17.291666666666668,2006–2015
LaMichael James,2012,2,61,SFO,RB,0.829725,2.0,2.4104371930458885,-16.291666666666668,2006–2015
Ronnie Hillman,2012,3,67,DEN,RB,0.750208,16.0,21.32741852926122,-1.9791666666666643,2006–2015
Bernard Pierce,2012,3,84,BAL,RB,0.663986,10.0,15.060558505751628,-6.214285714285715,2006–2015
Giovani Bernard,2013,2,37,CIN,RB,1.313335,30.0,22.842610605824103,7.0,2006–2015
Le'Veon Bell,2013,2,48,PIT,RB,1.03015,45.0,43.68295879240888,22.0,2006–2015
Montee Ball,2013,2,58,DEN,RB,0.866082,7.0,8.082375571828072,-11.291666666666668,2006–2015
Eddie Lacy,2013,2,61,GNB,RB,0.848103,36.0,42.44767439803891,17.708333333333332,2006–2015
Christine Michael,2013,2,62,SEA,RB,0.843608,9.0,10.66846212933021,-8.979166666666664,2006–2015
Knile Davis,2013,3,96,KAN,RB,0.685254,10.0,14.59312897115522,3.0666666666666678,2006–2015
Bishop Sankey,2014,2,54,TEN,RB,0.960874,6.0,6.244315071487001,-12.291666666666668,2006–2015
Jeremy Hill,2014,2,55,CIN,RB,0.938401,22.0,23.4441352897109,3.708333333333332,2006–2015
Carlos Hyde,2014,2,57,SFO,RB,0.92042,20.0,21.72921057777971,1.708333333333332,2006–2015
Charles Sims,2014,3,69,TAM,RB,0.775773,14.0,18.046516184502423,-3.979166666666664,2006–2015
Tre Mason,2014,3,75,STL,RB,0.745235,8.0,10.7348688668675,-8.214285714285715,2006–2015
Terrance West,2014,3,94,CLE,RB,0.69585,11.0,15.808004598692248,4.066666666666667,2006–2015
Jerick McKinnon,2014,3,96,MIN,RB,0.69125,23.0,33.273056057866185,16.066666666666666,2006–2015
Todd Gurley,2015,1,10,STL,RB,3.455795,47.0,13.600343770391472,11.0,2006–2015
Melvin Gordon,2015,1,15,SDG,RB,2.667441,36.0,13.496081075457711,3.2857142857142847,2006–2015
T.J. Yeldon,2015,2,36,JAX,RB,1.478444,20.0,13.527735916950522,-3.0,2006–2015
Ameer Abdullah,2015,2,54,DET,RB,1.039032,11.0,10.586776923136153,-7.291666666666668,2006–2015
Tevin Coleman,2015,3,73,ATL,RB,0.804843,27.0,33.54691536113255,9.020833333333336,2006–2015
Duke Johnson,2015,3,77,CLE,RB,0.776273,20.0,25.76413194842536,3.7857142857142847,2006–2015
David Johnson,2015,3,86,ARI,RB,0.748218,32.0,42.76828410971134,15.785714285714285,2006–2015
Matt Jones,2015,3,95,WAS,RB,0.730354,9.0,12.322791413478944,2.0666666666666678,2006–2015
Ezekiel Elliott,2016,1,4,DAL,RB,6.239085,51.0,8.174275554828952,15.833333333333336,2016–2024
Derrick Henry,2016,2,45,TEN,RB,1.351983,30.0,22.18962812402227,14.316666666666666,2016–2024
Kenyan Drake,2016,3,73,MIA,RB,0.845315,23.0,27.208791988785244,11.0,2016–2024
C.J. Prosise,2016,3,90,SEA,RB,0.778116,5.0,6.425777133486523,-1.1428571428571432,2016–2024
Leonard Fournette,2017,1,4,JAX,RB,6.786894,26.0,3.830912933073656,-9.166666666666664,2016–2024
Christian McCaffrey,2017,1,8,CAR,RB,4.310326,43.0,9.976043575358338,7.833333333333336,2016–2024
Dalvin Cook,2017,2,41,MIN,RB,1.588328,39.0,24.55412232234148,23.316666666666663,2016–2024
Joe Mixon,2017,2,48,CIN,RB,1.362541,28.0,20.549840335079825,12.316666666666666,2016–2024
Alvin Kamara,2017,3,67,NOR,RB,0.964443,54.0,55.99086726742793,41.42857142857143,2016–2024
Kareem Hunt,2017,3,86,KAN,RB,0.821431,36.0,43.82595738412599,25.25,2016–2024
D'Onta Foreman,2017,3,89,HOU,RB,0.814996,3.0,3.680999661348031,-3.1428571428571432,2016–2024
James Conner,2017,3,105,PIT,RB,0.793822,21.0,26.45429327985367,14.857142857142858,2016–2024
Saquon Barkley,2018,1,2,NYG,RB,7.798688,24.0,3.077440718233631,-11.166666666666664,2016–2024
Rashaad Penny,2018,1,27,SEA,RB,2.691359,7.0,2.600916488658704,-8.683333333333334,2016–2024
Sony Michel,2018,1,31,NWE,RB,2.406674,16.0,6.648179188373664,0.3166666666666664,2016–2024
Nick Chubb,2018,2,35,CLE,RB,1.845774,25.0,13.544453437961527,9.316666666666666,2016–2024
Ronald Jones II,2018,2,38,TAM,RB,1.767982,15.0,8.48424927403107,-0.6833333333333336,2016–2024
Kerryon Johnson,2018,2,43,DET,RB,1.625925,10.0,6.150345188123684,-5.683333333333334,2016–2024
Derrius Guice,2018,2,59,WAS,RB,1.135484,2.0,1.7613634362087005,-10.571428571428571,2016–2024
Royce Freeman,2018,3,71,DEN,RB,0.985005,9.0,9.137009456804789,-3.0,2016–2024
Josh Jacobs,2019,1,24,OAK,RB,2.98335,16.0,5.363098530175809,0.3166666666666664,2016–2024
Miles Sanders,2019,2,53,PHI,RB,1.340058,14.0,10.44730899707326,1.4285714285714288,2016–2024
Darrell Henderson,2019,3,70,LAR,RB,1.053001,5.0,4.74833357233279,-7.0,2016–2024
David Montgomery,2019,3,73,CHI,RB,1.003845,17.0,16.93488536576862,5.0,2016–2024
Devin Singletary,2019,3,74,BUF,RB,0.9745,14.0,14.366341713699333,2.0,2016–2024
Damien Harris,2019,3,87,NWE,RB,0.907784,5.0,5.50791818318014,-1.1428571428571432,2016–2024
Alexander Mattison,2019,3,102,MIN,RB,0.867795,8.0,9.218767105134278,1.8571428571428568,2016–2024
Clyde Edwards-Helaire,2020,1,32,KAN,RB,2.705394,8.0,2.957055423350536,-7.683333333333334,2016–2024
D'Andre Swift,2020,2,35,DET,RB,2.13473,6.0,2.810659896099273,-9.683333333333334,2016–2024
Jonathan Taylor,2020,2,41,IND,RB,1.957289,10.0,5.109107546202937,-5.683333333333334,2016–2024
Cam Akers,2020,2,52,LAR,RB,1.543261,4.0,2.5919141350685333,-8.571428571428571,2016–2024
J.K. Dobbins,2020,2,55,BAL,RB,1.43236,7.0,4.887039571057555,-5.571428571428571,2016–2024
AJ Dillon,2020,2,62,GNB,RB,1.321458,2.0,1.5134798079091427,-10.571428571428571,2016–2024
Antonio Gibson,2020,3,66,WAS,RB,1.23316,5.0,4.054623893087677,-7.571428571428571,2016–2024
Ke'Shawn Vaughn,2020,3,76,TAM,RB,1.17711,1.0,0.8495382759470227,-9.75,2016–2024
Zack Moss,2020,3,86,BUF,RB,1.13052,5.0,4.422743516258005,-5.75,2016–2024
Darrynton Evans,2020,3,93,TEN,RB,1.10943,1.0,0.9013637633739848,-5.142857142857143,2016–2024
Najee Harris,2021,1,24,PIT,RB,3.261861,0.0,0.0,-15.683333333333334,2016–2024
Javonte Williams,2021,2,35,DEN,RB,2.216439,0.0,0.0,-15.683333333333334,2016–2024
Trey Sermon,2021,3,88,SFO,RB,1.218234,0.0,0.0,-6.142857142857143,2016–2024
Michael Huff,2006,1,7,OAK,SECONDARY,,20.0,,-2.5,2006–2015
Donte Whitner,2006,1,8,BUF,SECONDARY,3.84015,20.0,5.208129890759476,1.5277777777777786,2006–2015
Tye Hill,2006,1,15,STL,SECONDARY,,9.0,,-9.47222222222222,2006–2015
Jason Allen,2006,1,16,MIA,SECONDARY,,7.0,,-11.47222222222222,2006–2015
Antonio Cromartie,2006,1,19,SDG,SECONDARY,1.725,30.0,17.391304347826086,11.52777777777778,2006–2015
Johnathan Joseph,2006,1,24,CIN,SECONDARY,1.64,22.0,13.414634146341465,3.5277777777777786,2006–2015
Kelly Jennings,2006,1,31,SEA,SECONDARY,,13.0,,-4.25,2006–2015
Jimmy Williams,2006,2,37,ATL,SECONDARY,,6.0,,-11.25,2006–2015
Daniel Bullocks,2006,2,40,DET,SECONDARY,,7.0,,-8.433333333333332,2006–2015
Danieal Manning,2006,2,42,CHI,SECONDARY,0.88375,19.0,21.4992927864215,3.566666666666668,2006–2015
Roman Harper,2006,2,43,NOR,SECONDARY,0.883625,22.0,24.897439524685247,6.566666666666668,2006–2015
Cedric Griffin,2006,2,48,MIN,SECONDARY,,21.0,,6.416666666666666,2006–2015
Bernard Pollard,2006,2,54,KAN,SECONDARY,0.7525,18.0,23.920265780730897,3.416666666666666,2006–2015
Devin Hester,2006,2,57,CHI,SECONDARY,0.718375,32.0,44.54497998955977,17.416666666666664,2006–2015
Richard Marshall,2006,2,58,CAR,SECONDARY,,19.0,,7.166666666666668,2006–2015
Tim Jennings,2006,2,62,IND,SECONDARY,0.698,12.0,17.191977077363898,0.75,2006–2015
Ashton Youboty,2006,3,70,BUF,SECONDARY,,5.0,,-5.812499999999998,2006–2015
Anthony Smith,2006,3,83,PIT,SECONDARY,,11.0,,3.375,2006–2015
David Pittman,2006,3,87,BAL,SECONDARY,,1.0,,-6.625,2006–2015
Eric Smith,2006,3,97,NYJ,SECONDARY,0.546875,9.0,16.457142857142856,1.375,2006–2015
LaRon Landry,2007,1,6,WAS,SECONDARY,3.605833,26.0,7.210539145878359,3.5,2006–2015
Darrelle Revis,2007,1,14,NYJ,SECONDARY,3.154417,54.0,17.1188527071722,35.52777777777778,2006–2015
Leon Hall,2007,1,18,CIN,SECONDARY,2.2,34.0,15.454545454545451,15.52777777777778,2006–2015
Michael Griffin,2007,1,19,TEN,SECONDARY,2.100002,33.0,15.714270748313574,14.52777777777778,2006–2015
Aaron Ross,2007,1,20,NYG,SECONDARY,,12.0,,-6.472222222222221,2006–2015
Reggie Nelson,2007,1,21,JAX,SECONDARY,1.91,20.0,10.471204188481677,1.5277777777777786,2006–2015
Brandon Meriweather,2007,1,24,NWE,SECONDARY,,23.0,,4.527777777777779,2006–2015
Eric Weddle,2007,2,37,SDG,SECONDARY,1.04125,26.0,24.96998799519808,8.75,2006–2015
Chris Houston,2007,2,41,ATL,SECONDARY,0.941513,20.0,21.24240451273641,4.566666666666668,2006–2015
Eric Wright,2007,2,53,CLE,SECONDARY,,24.0,,9.416666666666666,2006–2015
Josh Wilson,2007,2,55,SEA,SECONDARY,,18.0,,3.416666666666666,2006–2015
Gerald Alexander,2007,2,61,DET,SECONDARY,,11.0,,-0.8333333333333321,2006–2015
Usama Young,2007,3,66,NOR,SECONDARY,,6.0,,-4.812499999999998,2006–2015
Marcus McCauley,2007,3,72,MIN,SECONDARY,,4.0,,-5.0,2006–2015
Jonathan Wade,2007,3,84,STL,SECONDARY,,7.0,,-0.625,2006–2015
Aaron Rouse,2007,3,89,GNB,SECONDARY,,8.0,,0.375,2006–2015
Dante Hughes,2007,3,95,IND,SECONDARY,,3.0,,-4.625,2006–2015
Leodis McKelvin,2008,1,11,BUF,SECONDARY,3.1905,14.0,4.388026955022724,-4.472222222222221,2006–2015
Dominique Rodgers-Cromartie,2008,1,16,ARI,SECONDARY,2.51575,23.0,9.142402861969591,4.527777777777779,2006–2015
Aqib Talib,2008,1,20,TAM,SECONDARY,2.2,19.0,8.636363636363635,0.5277777777777786,2006–2015
Mike Jenkins,2008,1,25,DAL,SECONDARY,,22.0,,3.5277777777777786,2006–2015
Antoine Cason,2008,1,27,SDG,SECONDARY,,17.0,,-1.4722222222222214,2006–2015
Kenny Phillips,2008,1,31,NYG,SECONDARY,,14.0,,-3.25,2006–2015
Brandon Flowers,2008,2,35,KAN,SECONDARY,1.1805,25.0,21.17746717492588,7.75,2006–2015
Tracy Porter,2008,2,40,NOR,SECONDARY,1.06875,18.0,16.842105263157894,2.566666666666668,2006–2015
Tyrell Johnson,2008,2,43,MIN,SECONDARY,,10.0,,-5.433333333333332,2006–2015
Pat Lee,2008,2,60,GNB,SECONDARY,,2.0,,-9.833333333333332,2006–2015
Terrence Wheatley,2008,2,62,NWE,SECONDARY,,1.0,,-10.25,2006–2015
Terrell Thomas,2008,2,63,NYG,SECONDARY,,15.0,,3.75,2006–2015
Charles Godfrey,2008,3,67,CAR,SECONDARY,0.6398,21.0,32.82275711159737,10.187500000000002,2006–2015
Chevis Jackson,2008,3,68,ATL,SECONDARY,,4.0,,-6.812499999999998,2006–2015
Reggie Smith,2008,3,75,SFO,SECONDARY,,5.0,,-4.0,2006–2015
Antwaun Molden,2008,3,79,HOU,SECONDARY,,4.0,,-3.625,2006–2015
DaJuan Morgan,2008,3,82,KAN,SECONDARY,,3.0,,-4.625,2006–2015
Tom Zbikowski,2008,3,86,BAL,SECONDARY,,8.0,,0.375,2006–2015
Thomas DeCoud,2008,3,98,ATL,SECONDARY,0.575745,21.0,36.474480889977336,13.375,2006–2015
Malcolm Jenkins,2009,1,14,NOR,SECONDARY,2.95,26.0,8.813559322033898,7.527777777777779,2006–2015
Vontae Davis,2009,1,25,MIA,SECONDARY,2.04,19.0,9.31372549019608,0.5277777777777786,2006–2015
Louis Delmas,2009,2,33,DET,SECONDARY,1.424813,18.0,12.633236782651476,0.75,2006–2015
Patrick Chung,2009,2,34,NWE,SECONDARY,1.25,12.0,9.6,-5.25,2006–2015
Alphonso Smith,2009,2,37,DEN,SECONDARY,,8.0,,-9.25,2006–2015
Darius Butler,2009,2,41,NWE,SECONDARY,1.08125,11.0,10.173410404624278,-4.433333333333332,2006–2015
Jairus Byrd,2009,2,42,BUF,SECONDARY,1.05625,27.0,25.5621301775148,11.566666666666668,2006–2015
Mike Mitchell,2009,2,47,OAK,SECONDARY,0.9445,6.0,6.352567496029645,-8.583333333333334,2006–2015
Darcel McBath,2009,2,48,DEN,SECONDARY,,3.0,,-11.583333333333334,2006–2015
William Moore,2009,2,55,ATL,SECONDARY,0.839625,21.0,25.01116569897276,6.416666666666666,2006–2015
Sherrod Martin,2009,2,59,CAR,SECONDARY,,14.0,,2.166666666666668,2006–2015
Sean Smith,2009,2,61,MIA,SECONDARY,0.779,22.0,28.2413350449294,10.166666666666668,2006–2015
Bradley Fletcher,2009,3,66,STL,SECONDARY,0.660575,14.0,21.19365704121409,3.1875000000000018,2006–2015
Derek Cox,2009,3,73,JAX,SECONDARY,0.64575,18.0,27.874564459930312,9.0,2006–2015
Kevin Barnes,2009,3,80,WAS,SECONDARY,,3.0,,-4.625,2006–2015
Asher Allen,2009,3,86,MIN,SECONDARY,,8.0,,0.375,2006–2015
Lardarius Webb,2009,3,88,BAL,SECONDARY,0.571507,17.0,29.745917372840577,9.375,2006–2015
Chris Owens,2009,3,90,ATL,SECONDARY,,8.0,,0.375,2006–2015
Jerraud Powers,2009,3,92,IND,SECONDARY,0.607125,16.0,26.35371628577311,8.375,2006–2015
Ryan Mouton,2009,3,94,TEN,SECONDARY,,4.0,,-3.625,2006–2015
Rashad Johnson,2009,3,95,ARI,SECONDARY,0.558,9.0,16.129032258064516,1.375,2006–2015
Keenan Lewis,2009,3,96,PIT,SECONDARY,0.555,11.0,19.819819819819816,3.375,2006–2015
Eric Berry,2010,1,5,KAN,SECONDARY,8.333333,30.0,3.600000144000006,-15.0,2006–2015
Joe Haden,2010,1,7,CLE,SECONDARY,8.011348,29.0,3.619865221183751,6.5,2006–2015
Earl Thomas,2010,1,14,SEA,SECONDARY,3.2,50.0,15.625,31.52777777777778,2006–2015
Kareem Jackson,2010,1,20,HOU,SECONDARY,2.62,22.0,8.396946564885496,3.5277777777777786,2006–2015
Devin McCourty,2010,1,27,NWE,SECONDARY,2.0,32.0,16.0,13.52777777777778,2006–2015
Kyle Wilson,2010,1,29,NYJ,SECONDARY,1.973,14.0,7.095793208312214,-4.472222222222221,2006–2015
Patrick Robinson,2010,1,32,NOR,SECONDARY,1.8704,12.0,6.41573994867408,-5.25,2006–2015
Chris Cook,2010,2,34,MIN,SECONDARY,,10.0,,-7.25,2006–2015
Nate Allen,2010,2,37,PHI,SECONDARY,1.25825,22.0,17.484601629246967,4.75,2006–2015
T.J. Ward,2010,2,38,CLE,SECONDARY,1.378,27.0,19.593613933236576,9.75,2006–2015
Taylor Mays,2010,2,49,SFO,SECONDARY,,7.0,,-7.583333333333334,2006–2015
Javier Arenas,2010,2,50,KAN,SECONDARY,,9.0,,-5.583333333333334,2006–2015
Jerome Murphy,2010,3,65,STL,SECONDARY,,3.0,,-7.812499999999998,2006–2015
Amari Spievey,2010,3,66,DET,SECONDARY,,11.0,,0.1875000000000017,2006–2015
Myron Lewis,2010,3,67,TAM,SECONDARY,,1.0,,-9.812499999999998,2006–2015
Morgan Burnett,2010,3,71,GNB,SECONDARY,0.666275,18.0,27.01587182469701,7.187500000000002,2006–2015
Major Wright,2010,3,75,CHI,SECONDARY,,18.0,,9.0,2006–2015
Kevin Thomas,2010,3,94,IND,SECONDARY,,2.0,,-5.625,2006–2015
Brandon Ghee,2010,3,96,CIN,SECONDARY,,1.0,,-6.625,2006–2015
Patrick Peterson,2011,1,5,ARI,SECONDARY,5.7021,60.0,10.522439101383702,15.0,2006–2015
Prince Amukamara,2011,1,19,NYG,SECONDARY,3.01578,15.0,4.9738376141495735,-3.472222222222221,2006–2015
Jimmy Smith,2011,1,27,BAL,SECONDARY,2.87194,13.0,4.52655696149641,-5.472222222222221,2006–2015
Ras-I Dowling,2011,2,33,NWE,SECONDARY,1.326026,1.0,0.754133026049263,-16.25,2006–2015
Aaron Williams,2011,2,34,BUF,SECONDARY,1.314788,15.0,11.408683377091972,-2.25,2006–2015
Rahim Moore,2011,2,45,DEN,SECONDARY,1.112032,19.0,17.085839256424276,3.566666666666668,2006–2015
Marcus Gilchrist,2011,2,50,SDG,SECONDARY,0.9889,17.0,17.190818080695724,2.416666666666666,2006–2015
Jaiquawn Jarrett,2011,2,54,PHI,SECONDARY,0.898999,5.0,5.561741447988263,-9.583333333333334,2006–2015
Brandon Harris,2011,2,60,HOU,SECONDARY,0.824832,3.0,3.637104283054004,-8.833333333333332,2006–2015
Chris Culliver,2011,3,80,SFO,SECONDARY,0.659719,10.0,15.157968771552737,2.375,2006–2015
DeMarcus Van Dyke,2011,3,81,OAK,SECONDARY,0.657844,3.0,4.560351694322666,-4.625,2006–2015
Johnny Patrick,2011,3,88,NOR,SECONDARY,0.681845,4.0,5.866435920187139,-3.625,2006–2015
Shareece Wright,2011,3,89,SDG,SECONDARY,0.646035,11.0,17.026941264792153,3.375,2006–2015
Curtis Marsh,2011,3,90,PHI,SECONDARY,0.67213,1.0,1.4878074182077872,-6.625,2006–2015
Chris Conte,2011,3,93,CHI,SECONDARY,0.6509,19.0,29.19035182055616,11.375,2006–2015
Curtis Brown,2011,3,95,PIT,SECONDARY,0.6403,2.0,3.123535842573794,-5.625,2006–2015
Morris Claiborne,2012,1,6,DAL,SECONDARY,4.066126,12.0,2.9512120381906515,-10.5,2006–2015
Mark Barron,2012,1,7,TAM,SECONDARY,3.616625,29.0,8.01852555905022,6.5,2006–2015
Stephon Gilmore,2012,1,10,BUF,SECONDARY,4.63323,18.0,3.884978729741455,-0.4722222222222214,2006–2015
Dre Kirkpatrick,2012,1,17,CIN,SECONDARY,3.225999,12.0,3.719777966453184,-6.472222222222221,2006–2015
Harrison Smith,2012,1,29,MIN,SECONDARY,1.784637,24.0,13.448112977597123,5.527777777777779,2006–2015
Tavon Wilson,2012,2,48,NWE,SECONDARY,1.054474,6.0,5.690040721724766,-8.583333333333334,2006–2015
Casey Hayward,2012,2,62,GNB,SECONDARY,0.827478,10.0,12.084913435765058,-1.25,2006–2015
Trumaine Johnson,2012,3,65,STL,SECONDARY,0.760169,17.0,22.363448127982068,6.187500000000002,2006–2015
Josh Robinson,2012,3,66,MIN,SECONDARY,0.75375,9.0,11.940298507462686,-1.8124999999999984,2006–2015
Brandon Taylor,2012,3,73,SDG,SECONDARY,0.691594,1.0,1.4459350428141364,-8.0,2006–2015
Jamell Fleming,2012,3,80,ARI,SECONDARY,0.682767,5.0,7.323142448302276,-2.625,2006–2015
Bill Bentley,2012,3,85,DET,SECONDARY,,3.0,,-4.625,2006–2015
Jayron Hosley,2012,3,94,NYG,SECONDARY,0.659375,8.0,12.132701421800949,0.375,2006–2015
Dee Milliner,2013,1,9,NYJ,SECONDARY,3.165275,6.0,1.895569895190781,-12.47222222222222,2006–2015
D.J. Hayden,2013,1,12,OAK,SECONDARY,2.580925,9.0,3.48712186522274,-9.47222222222222,2006–2015
Kenny Vaccaro,2013,1,15,NOR,SECONDARY,3.020141,19.0,6.291097005073604,0.5277777777777786,2006–2015
Eric Reid,2013,1,18,SFO,SECONDARY,2.831351,24.0,8.47651880674632,5.527777777777779,2006–2015
Desmond Trufant,2013,1,22,ATL,SECONDARY,2.041524,24.0,11.755923515961603,5.527777777777779,2006–2015
Xavier Rhodes,2013,1,25,MIN,SECONDARY,1.951626,23.0,11.785044880525264,4.527777777777779,2006–2015
Matt Elam,2013,1,32,BAL,SECONDARY,1.691751,12.0,7.093242445253468,-5.25,2006–2015
Johnathan Cyprien,2013,2,33,JAX,SECONDARY,1.367276,23.0,16.821768245767498,5.75,2006–2015
Darius Slay,2013,2,36,DET,SECONDARY,1.322326,18.0,13.61237697814306,0.75,2006–2015
Johnthan Banks,2013,2,43,TAM,SECONDARY,1.18158,12.0,10.155892956888234,-3.433333333333332,2006–2015
David Amerson,2013,2,51,WAS,SECONDARY,0.962726,18.0,18.69690857003966,3.416666666666666,2006–2015
Jamar Taylor,2013,2,54,MIA,SECONDARY,0.906538,10.0,11.030977190145366,-4.583333333333334,2006–2015
D.J. Swearinger,2013,2,57,HOU,SECONDARY,0.872825,15.0,17.185575573568585,0.4166666666666661,2006–2015
Robert Alford,2013,2,60,ATL,SECONDARY,0.85035,17.0,19.99176809549009,5.166666666666668,2006–2015
Dwayne Gratz,2013,3,64,JAX,SECONDARY,0.775163,10.0,12.90051253736311,-0.8124999999999982,2006–2015
Leon McFadden,2013,3,68,CLE,SECONDARY,0.749833,2.0,2.667260576688409,-8.812499999999998,2006–2015
Tyrann Mathieu,2013,3,69,ARI,SECONDARY,0.763125,23.0,30.139230139230136,12.187500000000002,2006–2015
Blidi Wreh-Wilson,2013,3,70,TEN,SECONDARY,0.734331,6.0,8.17070231271729,-4.812499999999998,2006–2015
T.J. McDonald,2013,3,71,STL,SECONDARY,0.73157,19.0,25.97154065913036,8.187500000000002,2006–2015
J.J. Wilcox,2013,3,80,DAL,SECONDARY,0.702767,16.0,22.76714757522764,8.375,2006–2015
Logan Ryan,2013,3,83,NWE,SECONDARY,0.693313,18.0,25.96229985590924,10.375,2006–2015
Shawn Williams,2013,3,84,CIN,SECONDARY,0.690236,11.0,15.936578213828314,3.375,2006–2015
Kayvon Webster,2013,3,90,DEN,SECONDARY,0.68395,5.0,7.310475911981871,-2.625,2006–2015
Duron Harmon,2013,3,91,NWE,SECONDARY,0.677775,9.0,13.27874294566781,1.375,2006–2015
Will Davis,2013,3,93,MIA,SECONDARY,0.6753,0.0,0.0,-7.625,2006–2015
Justin Gilbert,2014,1,8,CLE,SECONDARY,3.208376,4.0,1.2467366667747173,-14.47222222222222,2006–2015
Kyle Fuller,2014,1,14,CHI,SECONDARY,2.42175,19.0,7.845566222772788,0.5277777777777786,2006–2015
Calvin Pryor,2014,1,18,NYJ,SECONDARY,2.140814,14.0,6.539568594002094,-4.472222222222221,2006–2015
Ha Ha Clinton-Dix,2014,1,21,GNB,SECONDARY,,24.0,,5.527777777777779,2006–2015
Darqueze Dennard,2014,1,24,CIN,SECONDARY,3.30098,8.0,2.4235227114372093,-10.47222222222222,2006–2015
Jason Verrett,2014,1,25,SDG,SECONDARY,3.283,13.0,3.9597928723728297,-5.472222222222221,2006–2015
Deone Bucannon,2014,1,27,ARI,SECONDARY,3.28544,26.0,7.913704100516218,7.527777777777779,2006–2015
Jimmie Ward,2014,1,30,SFO,SECONDARY,3.127706,10.0,3.197231453339924,-7.25,2006–2015
Bradley Roby,2014,1,31,DEN,SECONDARY,3.095706,11.0,3.5533090028575067,-6.25,2006–2015
Lamarcus Joyner,2014,2,41,STL,SECONDARY,1.257545,12.0,9.542402061158846,-3.433333333333332,2006–2015
Stanley Jean-Baptiste,2014,2,58,NOR,SECONDARY,0.909183,0.0,0.0,-11.833333333333332,2006–2015
Dezmen Southward,2014,3,68,ATL,SECONDARY,0.78125,1.0,1.28,-9.812499999999998,2006–2015
Terrence Brooks,2014,3,79,BAL,SECONDARY,0.717844,5.0,6.965301653284,-2.625,2006–2015
Dexter McDougle,2014,3,80,NYJ,SECONDARY,0.715969,2.0,2.7934170334190447,-5.625,2006–2015
Phillip Gaines,2014,3,87,KAN,SECONDARY,0.706028,7.0,9.914620949877342,-0.625,2006–2015
Trae Waynes,2015,1,11,MIN,SECONDARY,3.236091,16.0,4.944236734999109,-2.472222222222221,2006–2015
Kevin Johnson,2015,1,16,HOU,SECONDARY,2.512353,8.0,3.184265905308689,-10.47222222222222,2006–2015
Marcus Peters,2015,1,18,KAN,SECONDARY,2.39604,40.0,16.694212116659152,21.52777777777778,2006–2015
Byron Jones,2015,1,27,DAL,SECONDARY,2.150485,27.0,12.55530729114595,8.527777777777779,2006–2015
Damarious Randall,2015,1,30,GNB,SECONDARY,1.978932,18.0,9.095815318565773,0.75,2006–2015
Landon Collins,2015,2,33,NYG,SECONDARY,1.53014,33.0,21.56665403165724,15.75,2006–2015
Jalen Collins,2015,2,42,ATL,SECONDARY,1.356959,4.0,2.94776776601209,-11.433333333333332,2006–2015
Jaquiski Tartt,2015,2,46,SFO,SECONDARY,1.259254,12.0,9.52945156418006,-2.583333333333334,2006–2015
Eric Rowe,2015,2,47,PHI,SECONDARY,1.219966,7.0,5.7378648257410445,-7.583333333333334,2006–2015
